S,N,R_mean
5,3,42.275
5,4,82.81666666666666
5,5,124.125
5,6,197.475
5,8,345.68333333333334
5,10,536.4333333333333
10,3,153.1
10,4,307.56666666666666
10,5,515.0916666666667
10,6,694.7583333333333
10,8,1384.325
10,10,2093.5833333333335
15,3,422.55833333333334
15,4,647.2583333333333
15,5,1166.0416666666667
15,6,1726.3166666666666
15,8,2791.5583333333334
15,10,4470.833333333333
