N,S,R_mean
3,5,39.958333333333336
3,10,163.65833333333333
3,15,358.80833333333334
3,20,629.0333333333333
3,25,1035.875
4,5,78.19166666666666
4,10,306.8333333333333
4,15,692.6833333333333
4,20,1394.0416666666667
4,25,2008.4833333333333
5,5,116.3
5,10,517.1666666666666
5,15,1081.6583333333333
5,20,2211.3333333333335
5,25,3301.9666666666667
6,5,194.21666666666667
6,10,704.075
6,15,1602.0833333333333
6,20,2848.8
6,25,4314.883333333333
