R,P0_sim,Pall_sim,hit0,hit_all
10000,0.018210526315789472,0.0,728,0
100000,0.02307035175879397,0.0,9228,0
1000000,0.025548774387193596,9.004502251125562e-06,102195,36
10000000,0.02546914845742287,4.40022001100055e-06,1018766,176
100000000,0.02563355566777834,3.3400167000835003e-06,10253422,1336
