S,P0_sim,Pall_sim,hit0,hit_all
2,0.13941067633454182,0.0005373796724590573,2230571,8598
5,0.05227128391048881,2.7065883235404427e-05,836341,433
8,0.03200700087510939,8.813601700212526e-06,512112,141
10,0.025765408176022003,3.1253906738342293e-06,412247,50
