N,S,R_mean
3,5,51.208333333333336
3,10,197.49166666666667
3,15,486.325
3,20,834.7333333333333
3,25,1227.0416666666667
4,5,112.575
4,10,370.125
4,15,813.8416666666667
4,20,1613.5166666666667
4,25,2315.725
5,5,153.175
5,10,579.8
5,15,1375.2916666666667
5,20,2220.5583333333334
5,25,3978.383333333333
6,5,250.44166666666666
6,10,857.475
6,15,1941.2083333333333
6,20,3688.925
6,25,5003.383333333333
